"id","app","name","applied"
"1","contenttypes","0001_initial","2022-12-17"
"2","auth","0001_initial","2022-12-17"
"3","admin","0001_initial","2022-12-17"
"4","admin","0002_logentry_remove_auto_add","2022-12-17"
"5","admin","0003_logentry_add_action_flag_choices","2022-12-17"
"6","contenttypes","0002_remove_content_type_name","2022-12-17"
"7","auth","0002_alter_permission_name_max_length","2022-12-17"
"8","auth","0003_alter_user_email_max_length","2022-12-17"
"9","auth","0004_alter_user_username_opts","2022-12-17"
"10","auth","0005_alter_user_last_login_null","2022-12-17"
"11","auth","0006_require_contenttypes_0002","2022-12-17"
"12","auth","0007_alter_validators_add_error_messages","2022-12-17"
"13","auth","0008_alter_user_username_max_length","2022-12-17"
"14","auth","0009_alter_user_last_name_max_length","2022-12-17"
"15","auth","0010_alter_group_name_max_length","2022-12-17"
"16","auth","0011_update_proxy_permissions","2022-12-17"
"17","auth","0012_alter_user_first_name_max_length","2022-12-17"
"18","sessions","0001_initial","2022-12-17"
"19","myApp","0001_initial","2022-12-20"
"20","myApp","0002_rename_rider_driver_driver","2022-12-22"
"21","myApp","0003_trip","2022-12-23"
"22","myApp","0004_trip_latdestination_trip_lngdestination_and_more","2022-12-25"
"23","myApp","0005_customuser_lat_customuser_lng","2022-12-26"
"24","myApp","0006_chatmessage","2023-01-12"
